,Date,S&P500
0,2010-01-01,1073.869995
1,2010-02-01,1104.48999
2,2010-03-01,1169.430054
3,2010-04-01,1186.689941
4,2010-05-01,1089.410034
5,2010-06-01,1030.709961
6,2010-07-01,1101.599976
7,2010-08-01,1049.329956
8,2010-09-01,1141.199951
9,2010-10-01,1183.26001
10,2010-11-01,1180.550049
11,2010-12-01,1257.640015
12,2011-01-01,1286.119995
13,2011-02-01,1327.219971
14,2011-03-01,1325.829956
15,2011-04-01,1363.609985
16,2011-05-01,1345.199951
17,2011-06-01,1320.640015
18,2011-07-01,1292.280029
19,2011-08-01,1218.890015
20,2011-09-01,1131.420044
21,2011-10-01,1253.300049
22,2011-11-01,1246.959961
23,2011-12-01,1257.599976
24,2012-01-01,1312.410034
25,2012-02-01,1365.680054
26,2012-03-01,1408.469971
27,2012-04-01,1397.910034
28,2012-05-01,1310.329956
29,2012-06-01,1362.160034
30,2012-07-01,1379.319946
31,2012-08-01,1406.579956
32,2012-09-01,1440.670044
33,2012-10-01,1412.160034
34,2012-11-01,1416.180054
35,2012-12-01,1426.189941
36,2013-01-01,1498.109985
37,2013-02-01,1514.680054
38,2013-03-01,1569.189941
39,2013-04-01,1597.569946
40,2013-05-01,1630.73999
41,2013-06-01,1606.280029
42,2013-07-01,1685.72998
43,2013-08-01,1632.969971
44,2013-09-01,1681.550049
45,2013-10-01,1756.540039
46,2013-11-01,1805.810059
47,2013-12-01,1848.359985
48,2014-01-01,1782.589966
49,2014-02-01,1859.449951
50,2014-03-01,1872.339966
51,2014-04-01,1883.949951
52,2014-05-01,1923.569946
53,2014-06-01,1960.22998
54,2014-07-01,1930.6700440000002
55,2014-08-01,2003.369995
56,2014-09-01,1972.290039
57,2014-10-01,2018.050049
58,2014-11-01,2067.560059
59,2014-12-01,2058.899902
60,2015-01-01,1994.9899899999998
61,2015-02-01,2104.5
62,2015-03-01,2067.889893
63,2015-04-01,2085.51001
64,2015-05-01,2107.389893
65,2015-06-01,2063.110107
66,2015-07-01,2103.840088
67,2015-08-01,1972.180054
68,2015-09-01,1920.030029
69,2015-10-01,2079.360107
70,2015-11-01,2080.409912
71,2015-12-01,2043.939941
72,2016-01-01,1940.2399899999998
73,2016-02-01,1932.22998
74,2016-03-01,2059.73999
75,2016-04-01,2065.300049
76,2016-05-01,2096.949951
77,2016-06-01,2098.860107
78,2016-07-01,2173.600098
79,2016-08-01,2170.949951
80,2016-09-01,2168.27002
81,2016-10-01,2126.149902
82,2016-11-01,2198.810059
83,2016-12-01,2238.830078
84,2017-01-01,2278.8701170000004
85,2017-02-01,2363.639893
86,2017-03-01,2362.719971
87,2017-04-01,2384.199951
88,2017-05-01,2411.800049
89,2017-06-01,2423.409912
90,2017-07-01,2470.300049
91,2017-08-01,2471.649902
92,2017-09-01,2519.360107
93,2017-10-01,2575.26001
94,2017-11-01,2584.840088
95,2017-12-01,2673.610107
96,2018-01-01,2823.810059
97,2018-02-01,2713.830078
98,2018-03-01,2640.8701170000004
99,2018-04-01,2648.050049
100,2018-05-01,2705.27002
101,2018-06-01,2718.3701170000004
102,2018-07-01,2816.290039
103,2018-08-01,2901.52002
104,2018-09-01,2913.97998
105,2018-10-01,2711.73999
106,2018-11-01,2760.169922
107,2018-12-01,2506.850098
108,2019-01-01,2704.100098
109,2019-02-01,2784.48999
110,2019-03-01,2834.399902
111,2019-04-01,2945.830078
112,2019-05-01,2752.060059
113,2019-06-01,2941.76001
114,2019-07-01,2980.3798829999996
115,2019-08-01,2926.459961
116,2019-09-01,2976.73999
117,2019-10-01,3037.560059
118,2019-11-01,3140.97998
119,2019-12-01,3230.780029
