Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2010,8.3,8.3,8.3,8.2,8.1,8.0,8.0,8.0,8.1,8.1,8.1,8.1
2011,8.0,7.9,7.9,7.9,7.9,7.9,7.9,7.8,7.7,7.6,7.4,7.2
2012,7.1,7.0,6.9,6.9,6.9,6.8,6.7,6.6,6.5,6.5,6.5,6.5
2013,6.5,6.5,6.5,6.5,6.4,6.3,6.3,6.2,6.1,6.0,5.9,5.8
2014,5.7,5.5,5.4,5.3,5.2,5.2,5.1,5.0,4.9,4.8,4.7,4.6
2015,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.4
2016,4.4,4.4,4.4,4.5,4.6,4.7,4.7,4.7,4.8,4.8,4.8,4.8
2017,4.7,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4.1,4.0,4.0
2018,4.0,4.0,4.0,4.0,3.9,3.9,3.8,3.7,3.7,3.7,3.7,3.7
2019,3.7,3.6,3.5,3.5,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5
